aX,aY,aZ,gX,gY,gZ
0.071,-0.343,-0.687,-4.761,-0.183,8.972
0.060,-0.308,-0.794,-3.418,9.827,7.874
0.048,-0.315,-0.923,-1.892,17.883,6.104
0.037,-0.335,-1.053,-0.183,22.888,5.249
0.034,-0.342,-1.129,0.854,19.470,5.432
0.033,-0.335,-1.188,1.282,15.442,6.531
0.031,-0.315,-1.208,0.671,10.437,7.812
0.036,-0.295,-1.191,-0.916,5.249,8.972
0.037,-0.275,-1.151,-3.235,0.732,9.705
0.041,-0.253,-1.101,-5.005,-2.502,10.193
0.046,-0.235,-1.052,-5.981,-4.089,10.498

-0.399,0.505,-2.002,-205.627,24.902,-126.831
-0.465,0.399,-2.113,-231.995,6.348,-141.663
-0.540,0.198,-2.114,-261.780,-17.456,-157.166
-0.567,-0.038,-2.004,-287.476,-44.556,-169.922
-0.579,-0.282,-1.820,-309.570,-71.655,-178.040
-0.592,-0.579,-1.586,-331.604,-97.107,-183.044
-0.609,-0.920,-1.428,-346.741,-113.342,-184.021
-0.618,-1.252,-1.345,-350.037,-123.657,-179.871
-0.636,-1.559,-1.221,-344.604,-135.193,-171.509
-0.578,-1.819,-1.121,-330.566,-145.447,-159.424
-0.553,-2.090,-1.044,-336.243,-152.954,-140.320
-0.578,-2.315,-1.021,-327.209,-156.799,-118.164
-0.600,-2.451,-1.026,-326.050,-162.720,-88.318
-0.632,-2.435,-1.063,-320.923,-170.532,-53.955
-0.680,-2.315,-1.075,-306.152,-183.105,-20.020
-0.759,-2.132,-1.011,-283.569,-200.256,9.277
-0.892,-1.923,-0.851,-251.892,-219.849,33.447
-0.949,-1.733,-0.483,-210.083,-246.277,50.598
-0.897,-1.708,0.039,-158.997,-279.480,58.716
-0.850,-1.919,0.498,-104.858,-294.800,60.730
-0.842,-2.218,0.803,-81.726,-278.748,69.519
-0.847,-2.466,1.026,-58.899,-253.662,86.670
-0.871,-2.564,1.129,-54.138,-217.346,115.173
-0.880,-2.476,1.141,-43.823,-180.725,149.658
