count,aX,aY,aZ,gX,gY,gZ
80,0.051,-0.85,-2.372,-32.41,65.491,-93.018
81,0.101,-0.734,-2.255,-34.912,40.833,-68.176
82,0.131,-0.507,-2.071,-34.79,18.799,-46.997
83,0.144,-0.26,-1.844,-34.241,-0.61,-32.104
84,0.163,-0.037,-1.596,-32.532,-13.855,-24.658
85,0.181,0.112,-1.366,-29.236,-21.484,-23.071
86,0.192,0.153,-1.162,-26.55,-23.865,-26.245
87,0.193,0.08,-1.015,-23.865,-20.02,-31.738
88,0.196,-0.056,-0.938,-20.874,-13,-35.706
89,0.194,-0.211,-0.942,-17.395,-3.845,-36.194
90,0.18,-0.338,-1.018,-13.733,5.249,-32.776
91,0.171,-0.398,-1.133,-10.315,11.414,-25.452
92,0.165,-0.366,-1.234,-6.958,13.123,-15.503
93,0.159,-0.263,-1.296,-4.272,10.315,-6.104
94,0.163,-0.129,-1.292,-3.723,4.272,1.343
95,0.158,0.005,-1.247,-3.967,-1.831,6.409
96,0.159,0.112,-1.172,-4.456,-6.714,8.728
97,0.153,0.18,-1.09,-5.31,-9.644,8.667
98,0.15,0.219,-1.017,-5.981,-10.559,6.958
99,0.145,0.228,-0.967,-5.92,-9.766,4.822
100,0.14,0.213,-0.951,-5.31,-7.507,2.502
101,0.133,0.182,-0.961,-4.639,-5.127,0.671
102,0.141,0.161,-0.954,-4.761,-3.601,0.122
103,0.141,0.157,-0.956,-4.211,-1.831,0.488
104,0.145,0.17,-0.977,-2.93,0,1.099
105,0.144,0.172,-1.006,-2.197,1.526,1.282
106,0.144,0.162,-1.04,-2.136,2.014,1.16
107,0.145,0.154,-1.061,-2.136,1.221,1.404
108,0.148,0.158,-1.08,-2.197,0,2.258
109,0.153,0.182,-1.095,-2.075,-1.465,3.296
110,0.154,0.207,-1.11,-1.709,-2.991,3.601
111,0.153,0.217,-1.115,-1.709,-4.639,2.808
112,0.161,0.216,-1.109,-1.587,-6.592,1.953
113,0.165,0.197,-1.086,-1.526,-8.606,0.549
114,0.17,0.154,-1.055,-2.319,-10.132,-0.671
115,0.171,0.113,-1.01,-3.296,-11.108,-0.854
116,0.18,0.095,-0.963,-3.296,-11.108,0.183
117,0.18,0.094,-0.94,-2.319,-9.155,2.014
118,0.179,0.111,-0.94,-0.793,-6.714,3.906
119,0.173,0.144,-0.958,0.427,-4.333,5.493

1,0.07,1.181,-1.623,-144.714,2.686,-28.564
2,0.032,1.291,-1.749,-156.189,-5.615,-44.739
3,0.002,1.362,-1.845,-166.565,-17.7,-63.782
4,-0.048,1.403,-1.902,-176.147,-32.593,-84.656
5,-0.081,1.352,-1.927,-190.247,-49.5,-106.689
6,-0.12,1.24,-1.968,-206.787,-65.979,-128.601
7,-0.187,1.042,-2.011,-220.215,-82.153,-150.513
8,-0.269,0.767,-2.031,-232.788,-100.098,-171.631
9,-0.277,0.428,-2.034,-239.136,-119.141,-190.979
10,-0.311,0.052,-2.02,-238.098,-137.451,-206.726
11,-0.361,-0.336,-1.972,-235.291,-155.945,-217.651
12,-0.331,-0.716,-1.914,-231.995,-174.072,-222.351
13,-0.333,-1.079,-1.838,-228.76,-191.284,-220.215
14,-0.335,-1.45,-1.791,-196.106,-207.275,-216.125
